"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN2021fok","2021/03/15","LEDA 2062915","0.07","330","Ia"
"SN2021fou","2021/03/15","","0.07","330","Ia"
"SN2021fwm","2021/03/15","","0.07","330","Ia"
"SN2021fwy","2021/03/17","","0.07","330","Ia"
"SN2021gad","2021/03/17","","0.07","330","Ia"
"SN2021gi","2021/01/05","","0.07","330","Ia"
"SN2021iat","2021/04/03","","0.07","330","Ia"
"SN2021ijy","2021/04/04","","0.07","330","Ia"
"SN2021ipy","2021/04/08","","0.07","330","Ia"
"SN2021kkf","2021/04/15","","0.07","330","Ia"
"SN2021kpw","2021/04/20","","0.07","330","Ia"
"SN2021lxg","2021/05/07","","0.07","330","Ia"
"SN2021nbt","2021/05/18","","0.07","330","Ia"
"SN2021nim","2021/05/14","","0.07","330","Ia"
"SN2021nlh","2021/05/19","","0.07","330","Ia"
"SN2021nns","2021/05/27","","0.07","330","Ia"
"SN2021pie","2021/05/31","","0.07","330","Ia"
"SN2021pil","2021/06/08","","0.07","330","Ia"
"SN2021prh","2021/06/12","","0.07","330","Ia"
"SN2021qia","2021/06/16","LEDA 1951744","0.07","330","Ia"
"SN2021thn","2021/07/10","","0.07","330","Ia"
"SN2021tpx","2021/07/17","","0.07","330","Ia"
"SN2021umv","2021/08/01","","0.07","330","Ia"
"SN2021wev","2021/08/16","","0.07","330","Ia"
"SN2021xtb","2021/08/30","","0.07","330","Ia"
"SN2021yim","2021/09/08","","0.07","330","Ia"
"SN2021yno","2021/09/08","","0.07","330","Ia"
"iPTF13efe","2013/12/05","","0.07","330","Ia"
"LSQ14fms","2014/09/26","","0.07","330","Ia"
"SN2019dku","2019/04/10","","0.07087","330.28","Ia"
"SNF20080822-005","2008/08/22","","0.07091","330.48","Ia"
"SN2020eci","2020/03/04","","0.070933","330.592","Ia"
"LSQ12hvj","2012/12/22","","0.071","331","Ia"
"PS15mt","2015/03/14","","0.071","331","Ia"
"OGLE15rw","2015/11/16","","0.071","331","Ia"
"SN1997cm","1997/05/02","Abell 3528","0.071","331","nIa"
"SN2017def","2017/04/17","","0.071","331","Ia"
"SN2019ecw","2019/04/21","","0.071","331","Ia-91T"
"PS1-14md","2014/02/13","2MASX J11174242-2114394","0.071","331","Ia"
"SN2019aqm","2019/02/08","","0.071","331","Ia"
"SN2019hrx","2019/06/12","","0.071","331","Ia"
"SN2020hdc","2020/04/11","","0.071","331","Ia"
"SN2021epo","2021/03/03","","0.071","331","Ia"
"SN2019brb","2019/03/10","","0.071","331","Ia"
"SN2005L","2005/01/15","MCG +07-33-05","0.071","331","Ia"
